distance_km,traffic_ratio,weather_severity,vehicle_load,driver_fatigue,historical_delay,hub_congestion,product_type,priority,road_quality,temperature_celsius,precipitation_mm,wind_speed_kmh,is_peak_hour,active_incidents,vehicle_type_risk,actual_delay_minutes
150.57,2.66,0.37,0.32,0.64,9.64,2.63,medicine,critical,0.69,31.1,18.8,15.0,0,0,1.2,41.43
143.9,2.02,0.54,0.25,0.21,7.26,0.1,furniture,high,0.9,36.4,31.1,20.3,0,0,1.0,18.26
124.95,2.16,0.21,0.27,0.64,21.47,1.92,perishable,standard,0.94,27.6,15.7,12.5,1,0,1.2,32.24
220.67,1.77,0.51,0.36,0.09,2.94,2.19,general,high,0.63,31.0,27.9,22.5,1,0,1.0,31.37
53.1,1.42,0.07,0.84,0.2,8.62,1.0,furniture,standard,0.65,29.0,3.5,2.7,1,0,1.0,6.27
41.31,1.68,0.24,1.0,0.28,12.57,3.02,general,standard,0.87,24.6,15.0,13.0,0,0,1.0,13.42
239.08,1.11,0.17,0.57,0.15,2.18,8.49,luxury,standard,0.94,30.2,11.3,7.6,0,1,1.0,10.31
176.4,1.44,0.09,0.21,0.11,0.21,4.7,medicine,high,0.78,32.2,4.7,4.7,0,0,1.2,14.47
225.97,1.03,0.11,0.82,0.58,0.7,2.91,perishable,low,0.85,30.3,7.0,4.1,0,3,1.2,19.96
194.73,1.24,0.56,0.21,0.1,3.39,1.41,furniture,high,0.85,27.1,37.8,29.2,1,0,1.0,23.54
107.98,1.2,0.27,0.32,0.33,6.48,1.04,perishable,high,0.65,32.0,18.1,12.4,0,1,1.2,9.97
214.94,1.76,0.11,0.96,0.34,2.76,9.41,perishable,high,0.63,29.2,6.1,4.9,0,1,1.2,34.87
166.17,1.67,0.22,0.29,0.07,3.68,1.77,general,standard,0.79,28.8,14.6,8.2,1,0,1.0,16.75
103.9,1.25,0.73,0.61,0.49,10.81,8.34,furniture,high,0.81,33.9,50.6,36.1,0,0,1.0,19.16
139.24,1.9,0.35,0.91,0.29,1.38,1.63,medicine,standard,0.71,25.9,20.2,17.3,0,1,1.2,34.65
76.85,1.69,0.54,0.74,0.18,15.21,1.56,perishable,critical,0.91,27.2,32.9,23.2,0,0,1.2,16.06
338.05,1.95,0.42,0.79,0.58,0.61,9.39,furniture,standard,0.92,26.3,31.4,15.7,0,1,1.0,47.93
37.77,2.31,0.07,0.32,0.64,3.43,4.91,perishable,standard,0.92,32.5,3.7,3.9,0,0,1.2,10.57
28.28,1.65,0.56,0.85,0.41,3.12,2.24,perishable,standard,0.74,24.6,28.8,33.2,0,0,1.2,18.51
85.54,1.71,0.21,0.37,0.37,3.35,4.8,furniture,high,0.92,26.6,14.4,8.4,0,0,1.0,9.29
162.5,1.2,0.75,0.56,0.24,5.61,0.39,general,standard,0.97,28.8,54.1,33.4,0,1,1.0,18.04
61.72,1.5,0.24,0.53,0.3,1.76,0.77,furniture,standard,0.67,30.6,16.1,10.3,0,0,1.0,11.37
66.37,1.8,0.5,0.54,0.09,3.01,5.56,perishable,standard,0.9,23.0,35.4,29.3,0,1,1.2,21.94
159.19,1.59,0.56,0.83,0.05,2.02,7.63,furniture,high,0.97,31.4,35.8,33.1,1,0,1.0,25.76
126.36,2.29,0.43,0.48,0.27,14.58,0.6,hazmat,critical,0.92,33.9,21.8,21.3,0,1,1.4,40.73
145.05,1.51,0.22,0.85,0.28,1.8,2.77,medicine,standard,0.56,35.3,13.3,9.5,0,0,1.2,20.0
204.46,2.0,0.19,0.92,0.53,1.46,3.21,furniture,standard,0.93,32.6,14.8,8.7,0,1,1.0,29.29
102.9,2.23,0.16,0.88,0.5,1.01,0.28,furniture,high,0.75,26.2,8.1,9.6,1,0,1.0,24.7
119.62,1.94,0.46,0.92,0.77,2.62,1.26,hazmat,standard,0.99,31.3,33.6,21.1,1,0,1.4,40.55
91.29,2.78,0.21,0.28,0.15,1.57,2.39,general,standard,0.91,24.7,11.7,8.3,1,1,1.0,20.59
126.72,1.2,0.39,0.79,0.31,3.05,10.22,perishable,standard,0.95,31.0,31.2,15.8,0,0,1.2,17.5
123.64,1.32,0.68,0.5,0.34,1.0,3.71,medicine,standard,0.96,27.9,43.4,34.5,0,0,1.2,23.5
175.4,1.19,0.61,0.82,0.27,18.65,0.98,general,high,0.81,25.5,30.3,30.7,0,1,1.0,17.5
193.77,1.87,0.53,0.45,0.2,4.93,4.58,furniture,high,0.85,25.7,34.6,27.9,1,0,1.0,33.03
185.73,1.36,0.49,0.64,0.43,5.31,1.91,perishable,standard,0.68,34.7,26.9,22.8,0,0,1.2,21.85
53.72,1.5,0.12,0.2,0.53,5.43,4.06,furniture,critical,0.88,30.4,5.9,6.9,0,0,1.0,6.41
109.84,1.2,0.24,0.56,0.41,1.6,0.04,hazmat,standard,0.71,34.0,15.2,10.5,0,0,1.4,11.5
91.92,2.9,0.51,0.35,0.12,7.84,2.24,medicine,high,0.73,34.4,29.6,22.3,0,3,1.2,35.67
128.23,2.99,0.2,0.54,0.43,1.51,4.91,luxury,high,0.81,29.5,15.8,9.6,0,0,1.0,33.26
239.75,1.3,0.54,0.81,0.14,1.25,5.87,furniture,standard,0.65,30.9,31.5,24.2,0,1,1.0,24.42
76.08,1.78,0.14,0.36,0.25,0.18,11.62,luxury,standard,0.86,33.9,9.2,6.3,0,0,1.0,11.79
89.61,1.57,0.47,0.82,0.34,0.72,2.54,luxury,high,0.87,32.3,25.7,18.3,1,0,1.0,16.63
128.42,1.35,0.19,0.83,0.7,3.52,10.48,medicine,standard,0.79,28.7,10.7,7.0,0,0,1.2,11.35
105.17,1.7,0.17,0.87,0.43,4.43,6.59,luxury,high,0.7,27.7,11.1,6.7,0,0,1.0,14.74
89.65,1.05,0.3,0.18,0.37,5.62,2.47,general,standard,0.9,27.6,20.4,14.2,1,2,1.0,11.71
151.13,1.09,0.3,0.1,0.18,9.15,4.19,medicine,high,0.9,34.1,23.7,16.0,0,2,1.2,14.9
137.27,1.58,0.35,0.67,0.35,9.37,10.31,hazmat,critical,0.94,31.6,17.3,17.2,0,1,1.4,24.87
84.86,1.04,0.28,0.15,0.25,2.48,1.75,general,high,0.91,34.6,16.4,10.1,0,1,1.0,6.96
38.17,1.63,0.33,0.47,0.44,1.79,10.79,perishable,low,0.59,29.4,18.4,16.8,0,1,1.2,22.46
222.4,1.26,0.69,0.91,0.23,1.41,5.7,perishable,low,0.91,34.8,53.9,31.2,1,0,1.2,33.78
90.52,1.64,0.04,0.33,0.44,0.63,0.49,perishable,low,0.67,33.5,3.1,2.4,0,0,1.2,17.71
277.43,1.59,0.22,0.34,0.33,0.9,6.76,general,high,0.74,26.4,13.8,11.9,1,0,1.0,22.32
245.3,2.34,0.07,0.62,0.48,6.9,1.42,furniture,low,0.71,35.1,4.9,3.0,0,1,1.0,55.4
181.34,1.64,0.23,0.99,0.09,1.66,0.16,general,critical,0.88,29.0,17.5,10.7,0,0,1.0,16.84
63.47,2.04,0.11,0.19,0.14,2.94,2.85,perishable,standard,1.0,35.4,6.6,5.9,0,0,1.2,15.17
82.68,1.17,0.27,0.97,0.21,9.24,12.02,medicine,standard,0.79,30.1,16.1,12.7,1,0,1.2,15.91
135.69,1.78,0.59,0.67,0.34,2.24,7.19,perishable,standard,0.87,29.6,47.2,28.4,0,0,1.2,27.45
84.88,1.68,0.37,0.78,0.35,2.73,3.45,luxury,standard,0.63,31.8,20.8,15.8,1,0,1.0,14.17
121.18,1.71,0.11,0.26,0.37,1.6,11.13,hazmat,standard,0.77,31.3,7.8,4.4,1,1,1.4,22.61
27.17,1.67,0.22,0.64,0.21,1.64,1.54,general,high,0.88,28.3,15.4,11.2,0,0,1.0,5.21
217.35,2.4,0.3,0.24,0.17,10.96,2.63,perishable,high,0.73,29.0,23.8,11.9,0,1,1.2,57.5
168.12,1.93,0.05,0.54,0.41,2.69,7.26,general,critical,0.79,35.5,2.9,3.0,0,3,1.0,27.98
115.93,1.84,0.33,0.48,0.21,0.94,0.57,general,high,0.91,26.7,20.7,12.0,0,1,1.0,17.73
291.51,1.52,0.22,0.78,0.11,2.97,1.36,medicine,high,0.67,25.4,16.9,12.1,1,0,1.2,31.09
91.4,1.99,0.7,0.43,0.05,11.72,3.83,general,critical,0.77,32.7,34.8,30.7,0,0,1.0,15.8
290.86,2.38,0.17,0.17,0.4,0.47,2.65,perishable,low,0.96,28.3,11.7,8.3,0,0,1.2,81.84
40.22,1.84,0.05,0.95,0.65,0.56,3.09,general,low,0.76,27.3,2.9,2.4,0,0,1.0,13.87
26.64,1.54,0.64,0.23,0.54,0.36,3.2,furniture,standard,0.75,30.4,31.4,25.8,1,1,1.0,24.2
214.88,1.93,0.59,0.44,0.2,4.49,1.13,general,high,0.86,27.0,43.8,35.2,1,1,1.0,41.54
94.21,1.56,0.01,0.57,0.18,1.04,5.53,luxury,low,0.88,32.8,0.7,0.5,1,2,1.0,13.75
144.94,2.16,0.33,0.9,0.32,11.77,11.0,perishable,low,0.82,29.1,19.6,14.8,1,0,1.2,48.85
191.11,1.65,0.1,0.19,0.48,18.84,3.82,perishable,standard,0.78,36.3,6.3,4.8,0,1,1.2,29.43
238.52,1.32,0.22,0.71,0.2,10.56,1.6,luxury,high,0.9,32.6,13.0,10.3,0,1,1.0,17.75
85.1,2.82,0.46,0.49,0.71,5.11,9.0,hazmat,standard,0.84,27.9,23.4,25.9,0,1,1.4,42.05
141.81,2.42,0.65,0.81,0.49,0.9,5.45,perishable,standard,0.78,28.4,51.4,23.5,0,1,1.2,57.06
132.28,2.24,0.37,0.88,0.56,0.97,2.19,luxury,critical,0.83,30.0,24.2,21.8,1,0,1.0,30.66
26.78,1.71,0.65,0.29,0.08,5.07,0.97,luxury,standard,0.95,26.7,47.7,37.3,0,0,1.0,11.33
157.03,1.64,0.34,0.65,0.33,4.26,9.64,hazmat,standard,0.9,30.1,25.6,13.6,0,0,1.4,27.54
184.41,2.29,0.74,0.57,0.59,3.76,12.55,luxury,standard,0.73,35.7,53.5,35.5,0,1,1.0,46.59
169.48,1.22,0.27,0.62,0.18,11.12,1.82,furniture,low,0.69,30.2,15.2,13.9,0,0,1.0,8.12
154.39,1.84,0.3,0.87,0.39,4.15,4.55,furniture,high,0.76,33.1,15.0,12.5,0,0,1.0,22.42
187.69,1.61,0.1,0.37,0.25,1.46,3.13,luxury,standard,0.71,30.1,5.0,5.2,1,1,1.0,18.62
192.08,1.44,0.08,0.37,0.09,0.77,6.39,furniture,standard,0.78,26.5,4.0,2.9,0,0,1.0,18.78
79.69,1.39,0.26,0.75,0.39,4.2,14.34,perishable,standard,0.77,33.4,15.9,10.8,0,1,1.2,12.89
269.01,2.55,0.08,0.56,0.55,0.08,0.66,perishable,high,0.81,25.9,5.3,3.0,0,0,1.2,61.62
208.61,2.23,0.39,0.64,0.43,10.89,1.82,medicine,standard,0.79,30.7,31.2,22.2,0,0,1.2,36.92
104.52,1.38,0.65,0.8,0.45,0.04,6.64,hazmat,standard,0.85,25.5,36.0,29.3,0,0,1.4,22.35
94.8,1.14,0.62,0.44,0.33,1.74,2.6,general,high,0.95,34.7,37.6,36.5,1,0,1.0,18.69
105.06,1.09,0.12,0.39,0.48,9.48,1.79,general,critical,0.65,29.5,6.8,5.4,0,1,1.0,3.48
177.87,1.93,0.55,0.47,0.15,2.08,0.42,hazmat,standard,0.85,27.2,40.6,26.0,0,1,1.4,47.86
219.58,3.1,0.38,0.12,0.31,0.98,3.93,general,high,0.84,35.1,27.0,14.5,1,2,1.0,71.85
267.26,1.78,0.07,0.84,0.29,0.6,4.48,luxury,standard,0.8,33.4,5.6,4.1,0,1,1.0,36.49
111.92,1.21,0.51,0.45,0.36,4.53,1.88,furniture,standard,0.71,29.2,25.6,24.9,0,0,1.0,12.39
57.27,1.96,0.23,0.48,0.6,0.73,0.17,hazmat,standard,0.6,32.3,11.8,8.7,0,1,1.4,22.95
98.19,1.52,0.74,0.81,0.24,2.77,0.17,medicine,high,0.74,29.6,47.7,36.2,1,0,1.2,33.06
81.12,1.54,0.11,0.28,0.2,1.51,0.58,luxury,standard,0.73,28.8,6.2,4.3,0,0,1.0,5.92
190.0,1.95,0.19,0.23,0.42,8.43,1.56,general,high,0.76,32.3,13.5,8.6,0,0,1.0,22.12
108.26,1.14,0.52,0.92,0.2,4.47,0.54,general,high,0.75,30.6,36.4,23.8,0,0,1.0,7.96
95.68,2.68,0.29,0.93,0.44,1.59,1.92,general,high,0.73,25.8,16.5,16.0,1,0,1.0,32.34
112.48,1.83,0.18,0.81,0.29,0.22,5.27,general,critical,0.97,27.2,13.7,10.2,0,0,1.0,15.8
95.12,1.86,0.37,0.24,0.31,2.75,1.58,medicine,low,0.87,32.4,20.0,13.7,1,1,1.2,24.62
78.53,1.4,0.57,0.84,0.29,2.26,0.77,perishable,critical,0.8,30.7,43.3,30.0,0,0,1.2,15.52
248.85,1.14,0.36,0.94,0.17,1.9,3.45,perishable,low,0.9,27.9,23.2,20.8,0,1,1.2,24.0
74.03,1.7,0.47,0.87,0.49,1.65,3.56,general,high,0.68,26.1,24.6,21.9,0,2,1.0,16.23
189.54,1.48,0.19,0.46,0.47,2.78,9.05,perishable,standard,0.91,28.0,11.9,10.8,0,1,1.2,22.49
48.71,2.21,0.09,0.18,0.09,0.55,3.66,furniture,standard,0.96,33.2,7.2,3.6,1,0,1.0,7.96
172.48,1.2,0.2,0.44,0.04,2.65,5.56,furniture,low,0.59,32.8,14.2,7.9,1,1,1.0,13.89
270.73,2.43,0.68,0.1,0.49,0.25,0.83,medicine,standard,0.96,26.4,51.3,31.2,0,1,1.2,54.85
81.43,1.07,0.43,0.57,0.47,5.69,4.24,general,high,0.86,24.8,26.4,25.2,0,0,1.0,4.21
71.02,1.9,0.83,0.11,0.43,2.75,2.67,general,standard,0.79,26.8,60.1,29.8,0,0,1.0,18.9
117.68,1.24,0.35,0.6,0.13,3.46,5.86,perishable,high,0.61,28.4,22.5,18.2,1,0,1.2,12.56
55.0,1.13,0.21,0.5,0.23,10.11,3.03,perishable,standard,0.73,29.6,16.3,9.7,0,2,1.2,14.57
66.46,1.78,0.14,0.41,0.61,1.48,3.85,luxury,standard,0.81,28.5,10.4,4.9,1,0,1.0,15.03
311.3,1.6,0.64,0.37,0.35,1.07,1.04,furniture,critical,0.59,26.2,38.4,29.6,0,1,1.0,33.93
206.81,3.09,0.18,0.85,0.35,0.07,0.74,medicine,standard,0.77,28.6,11.2,6.7,1,0,1.2,76.17
64.6,1.57,0.37,0.56,0.16,5.09,12.93,furniture,critical,0.79,29.9,20.9,21.8,0,0,1.0,10.86
225.63,1.98,0.15,0.36,0.14,19.48,5.41,perishable,low,0.67,32.0,10.5,8.6,0,1,1.2,48.06
99.83,1.36,0.26,0.71,0.31,5.29,7.38,luxury,standard,0.83,29.7,19.5,10.2,0,1,1.0,12.63
158.79,1.84,0.28,0.64,0.45,11.56,3.98,perishable,low,0.81,27.4,20.5,14.8,0,1,1.2,48.25
127.01,1.66,0.62,0.39,0.31,1.48,0.2,hazmat,critical,0.83,31.5,45.4,31.0,0,0,1.4,29.25
209.46,2.04,0.58,0.99,0.39,3.49,2.46,general,high,0.81,30.8,46.0,25.3,0,0,1.0,33.15
166.64,1.25,0.05,0.8,0.47,0.23,13.46,general,standard,0.82,26.8,3.0,2.7,1,2,1.0,15.06
83.32,1.1,0.03,0.72,0.58,7.86,3.06,perishable,high,0.77,32.5,1.6,1.8,1,0,1.2,0.64
66.52,1.51,0.35,0.19,0.43,4.95,0.03,general,high,0.76,28.9,27.6,12.7,0,0,1.0,4.96
49.49,1.29,0.19,0.23,0.47,9.84,0.5,luxury,low,0.81,32.3,10.6,9.7,1,1,1.0,13.65
184.39,1.8,0.21,0.62,0.6,3.63,11.95,luxury,standard,0.73,26.5,11.8,10.7,1,1,1.0,28.34
47.88,1.34,0.73,0.92,0.35,1.23,10.89,general,high,0.71,27.8,52.7,38.0,0,0,1.0,14.52
131.75,1.89,0.5,0.52,0.66,3.0,2.1,luxury,standard,0.7,26.1,33.9,22.4,0,0,1.0,21.62
130.12,1.84,0.35,0.23,0.16,9.81,0.76,hazmat,high,0.83,32.7,22.2,17.9,0,0,1.4,35.35
114.69,1.19,0.31,0.58,0.44,13.38,2.56,furniture,low,0.87,28.2,19.2,11.3,0,1,1.0,7.79
163.25,2.07,0.37,0.95,0.31,1.63,8.92,hazmat,high,0.59,28.4,21.4,13.5,0,0,1.4,50.03
55.93,1.07,0.33,0.61,0.52,0.55,12.19,medicine,high,0.79,34.8,17.0,16.5,0,1,1.2,13.04
59.8,1.7,0.71,0.86,0.47,2.07,3.05,perishable,standard,0.77,31.6,40.6,38.9,1,2,1.2,37.91
174.87,2.43,0.7,0.87,0.39,9.76,1.04,general,low,0.8,32.3,45.4,28.4,0,0,1.0,32.18
87.08,1.83,0.06,0.29,0.09,9.42,6.36,furniture,high,0.62,31.4,3.5,2.9,0,0,1.0,15.18
180.77,2.01,0.29,0.58,0.23,17.6,0.37,hazmat,standard,0.93,34.2,19.0,10.2,0,1,1.4,40.19
131.56,2.27,0.51,0.16,0.16,1.04,13.44,perishable,critical,0.92,31.9,28.7,18.3,1,0,1.2,40.54
175.15,3.1,0.35,0.23,0.36,0.95,7.06,furniture,high,0.74,25.3,18.1,13.8,0,0,1.0,41.4
103.79,1.18,0.96,0.46,0.38,4.12,0.06,perishable,critical,0.81,27.9,76.2,50.5,1,0,1.2,19.39
78.78,1.58,0.43,0.16,0.55,6.89,1.16,hazmat,high,0.61,30.0,22.1,18.3,1,0,1.4,18.56
281.54,1.63,0.53,0.21,0.52,0.44,0.63,hazmat,standard,0.81,27.6,34.9,30.6,0,0,1.4,38.88
293.3,1.19,0.18,0.3,0.26,4.21,2.42,general,high,0.6,31.9,12.8,9.5,0,1,1.0,11.95
255.41,1.97,0.27,0.74,0.41,20.35,2.46,luxury,standard,0.92,28.1,17.6,12.6,0,0,1.0,33.13
156.48,2.19,0.11,0.2,0.3,10.37,5.74,perishable,standard,0.78,33.3,6.7,4.9,0,0,1.2,31.87
132.14,1.62,0.65,0.8,0.39,2.08,1.63,furniture,critical,0.73,30.8,49.9,32.9,0,1,1.0,22.7
35.85,1.46,0.37,0.6,0.44,3.34,2.05,medicine,critical,0.87,31.8,20.2,14.1,1,2,1.2,16.66
154.71,1.18,0.53,0.99,0.52,1.25,0.85,luxury,high,0.92,31.1,37.7,26.5,1,2,1.0,17.09
81.2,1.58,0.39,0.17,0.12,6.67,0.84,luxury,high,0.76,24.9,21.6,14.7,0,1,1.0,15.67
49.28,1.89,0.61,0.82,0.45,3.1,5.44,medicine,low,0.89,33.2,45.6,24.3,0,1,1.2,23.6
153.72,1.99,0.3,0.52,0.6,2.12,2.86,luxury,low,0.88,33.2,23.6,11.7,0,1,1.0,31.42
293.1,2.01,0.67,0.14,0.11,4.15,3.21,luxury,critical,0.93,33.1,36.0,27.5,0,2,1.0,44.83
47.06,2.13,0.43,0.85,0.48,6.07,0.4,general,high,0.88,31.2,27.0,24.6,1,1,1.0,29.16
120.05,1.65,0.1,0.57,0.34,0.68,6.57,general,high,0.94,30.1,7.7,3.8,0,1,1.0,10.67
87.5,1.88,0.04,0.48,0.22,8.49,2.32,general,standard,0.68,26.0,2.1,1.8,0,1,1.0,15.49
174.4,2.13,0.37,0.68,0.52,0.54,7.27,hazmat,critical,0.77,24.5,25.4,14.7,1,3,1.4,72.54
181.37,2.22,0.22,0.45,0.38,9.57,3.33,perishable,standard,0.82,23.0,11.0,9.0,0,0,1.2,48.12
97.16,2.25,0.21,0.52,0.4,0.77,4.09,perishable,high,0.93,31.4,11.3,10.5,1,1,1.2,23.42
94.46,1.33,0.54,0.39,0.14,0.04,2.22,general,high,0.86,27.8,29.5,28.8,1,0,1.0,16.74
199.36,1.17,0.65,0.35,0.27,3.89,4.68,perishable,standard,0.92,26.0,47.2,36.5,0,0,1.2,9.32
